Field Code (Riverhead/Uplands),Taxa,PHOTOPERIOD,Type,Origin,Race,Riverhead # Panicles 2019
BAP142,PI 329617,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP143,PI 329618,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP144,PI 329632,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP145,PI 329644,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP146,PI 329645,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP147,PI 329646,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP148,PI 329665,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP149,PI 329673,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP150,PI 329699,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA,
BAP151,PI 329702,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP152,PI 329710,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP153,PI 329711,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP154,PI 329841,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP155,PI 329843,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP156,PI 329864,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA,
BAP157,PI 329865,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP158,PI 330167,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP159,PI 330168,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP160,PI 330169,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP161,PI 330181,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP162,PI 330182,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP163,PI 330184,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP164,PI 330185,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP165,PI 330195,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA,
BAP166,PI 330196,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP167,PI 330199,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA,
BAP168,PI 330796,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP169,PI 330803,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP170,PI 330807,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP171,PI 330833,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP172,PI 330858,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP173,PI 337680,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA,
BAP174,PI 337689,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA,
BAP175,PI 35038,PHOTOPERIOD_INSENSITIVE,Cellulosic,United States,NA,
BAP176,PI 365512,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Caudatum,
BAP177,PI 452542,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra,
BAP178,PI 452544,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP179,PI 452619,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Guinea-durra,
BAP180,PI 452692,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP181,PI 453106,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra,
BAP182,PI 453177,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor,
BAP183,PI 453696-dark,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP184,PI 455217,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP185,PI 455221-dark,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,MIXED,
BAP186,PI 455280,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor,
BAP187,PI 455301,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Kafir-durra,
BAP188,PI 455307,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor,
BAP189,PI 505717,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Guinea-caudatum,
BAP190,PI 505722,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Guinea-caudatum,
BAP191,PI 505735,PHOTOPERIOD_INSENSITIVE,Sweet,Zambia,Caudatum,
BAP192,PI 506030,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP193,PI 506069,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea-bicolor,
BAP194,PI 506114,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP195,PI 506122,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP196,PI 508366,PHOTOPERIOD_SENSITIVE,Cellulosic,Mali,Guinea,
BAP197,PI 510757,PHOTOPERIOD_SENSITIVE,Cellulosic,Cameroon,Durra,
BAP198,PI 511355,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP199,PI 513898,PHOTOPERIOD_SENSITIVE,Cellulosic,Benin,Guinea,
BAP200,PI 514456,PHOTOPERIOD_SENSITIVE,Cellulosic,Senegal,Guinea,
BAP201,PI 521019,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Durra-caudatum,
BAP202,PI 521152,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum,
BAP203,PI 521280,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Durra-bicolor,
BAP204,PI 521281,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Bicolor,
BAP205,PI 521290,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,Guinea-bicolor,
BAP206,PI 524475,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum-bicolor,
BAP207,PI 525049,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Guinea,
BAP208,PI 52606,PHOTOPERIOD_INSENSITIVE,GRAIN,South Africa,Kafir,
BAP209,PI 526905,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,
BAP210,PI 527045,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,
BAP211,PI 533792,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA,
BAP212,PI 533902,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA,
BAP213,PI 533998,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP214,PI 534120,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA,
BAP215,PI 534165,PHOTOPERIOD_INSENSITIVE,GRAIN,Sudan,NA,
BAP216,PI 535783,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP217,PI 535785,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP218,PI 535792,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP219,PI 535793,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP220,PI 535794,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP221,PI 535795,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP222,PI 535796,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP223,PI 540518,PHOTOPERIOD_INSENSITIVE,Cellulosic,Botswana,NA,
BAP224,PI 542718,PHOTOPERIOD_INSENSITIVE,GRAIN,China,NA,
BAP225,PI 550604,PHOTOPERIOD_INSENSITIVE,GRAIN,Former Soviet Union,Caudatum,
BAP226,PI 552851,PHOTOPERIOD_SENSITIVE,Sweet,NA,NA,
BAP227,PI 561840,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP228,PI 562717,PHOTOPERIOD_INSENSITIVE,Cellulosic,United States,Bicolor,
BAP229,PI 562730,PHOTOPERIOD_INSENSITIVE,Sweet,United States,Bicolor,
BAP230,PI 562732,PHOTOPERIOD_SENSITIVE,Sweet,Mexico,Durra-caudatum,
BAP231,PI 562781,PHOTOPERIOD_SENSITIVE,Cellulosic,Mali,Guinea,
BAP232,PI 562897,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,
BAP233,PI 562970,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP234,PI 562971,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP235,PI 562981,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP236,PI 562982,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP237,PI 562985,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP238,PI 562990,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP239,PI 562991,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP240,PI 562994,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP241,PI 562997,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea-caudatum,
BAP242,PI 562998,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP243,PI 563002,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP244,PI 563006,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP245,PI 563009,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea-caudatum,
BAP246,PI 563020,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP247,PI 563021,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP248,PI 563022,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,
BAP249,PI 563032,PHOTOPERIOD_INSENSITIVE,Sweet,Japan,Bicolor,
BAP250,PI 563196,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Guinea-caudatum,
BAP251,PI 563222,PHOTOPERIOD_SENSITIVE,Cellulosic,United States,Kafir,
BAP252,PI 563295,PHOTOPERIOD_SENSITIVE,Sweet,United States,Durra-caudatum,
BAP253,PI 563329,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra-caudatum,
BAP254,PI 563330,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra,
BAP255,PI 563331,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra,
BAP256,PI 563332,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,
BAP257,PI 563338,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,
BAP258,PI 563348,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,
BAP259,PI 563350,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,
BAP260,PI 563355,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea-caudatum,
BAP261,PI 564163,PHOTOPERIOD_INSENSITIVE,GRAIN,United States,NA,
BAP262,PI 566819,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP263,PI 568717,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Durra-caudatum,
BAP264,PI 569090,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,Caudatum,
BAP265,PI 569097,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Durra,
BAP266,PI 569148,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Durra-bicolor,
BAP267,PI 569244,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,Durra-caudatum,
BAP268,PI 569264,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum-bicolor,
BAP269,PI 569416,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP270,PI 569418,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP271,PI 569419,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP272,PI 569420,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP273,PI 569421,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP274,PI 569422,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP275,PI 569423,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP276,PI 569425,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP277,PI 569427,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP278,PI 569433,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP279,PI 569435,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP280,PI 569443,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Kafir-caudatum,
BAP281,PI 569444,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP282,PI 569445,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP283,PI 569446,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP284,PI 569447,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP285,PI 569452,PHOTOPERIOD_SENSITIVE,Sweet,NA,Caudatum,
BAP286,PI 569453,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP287,PI 569454,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP288,PI 569455,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP289,PI 569457,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
